"Has this problem with how you look affected your life?","No",0,2741-questionnaire.csv 
"Has it often upset you a lot?","Yes",1,2741-questionnaire.csv 
"Has it often gotten in the way of doing things with friends, dating, relationships, or social activities?","No",0,2741-questionnaire.csv 
"Has it caused you any problems with school, work, or other activities?","No",0,2741-questionnaire.csv 
"Are there things you avoid because of how you look?","Yes",1,2741-questionnaire.csv 
"On an average day, how much time do you usually spend thinking about how you look?","One to Three Hours",1,2741-questionnaire.csv 
,,5,2741-questionnaire.csv 
label,selection,val,2807-questionnaire.csv 
"Are you worried about how you look?","Yes",1,2807-questionnaire.csv 
"Do you think about your appearance problems a lot and wish you could think about them less?","Yes",1,2807-questionnaire.csv 
"Is your main concern with how you look that you aren't thin enough or that you might get too fat?","Yes",1,2807-questionnaire.csv 
"Has this problem with how you look affected your life?","Yes",1,2807-questionnaire.csv 
"Has it often upset you a lot?","Yes",1,2807-questionnaire.csv 
"Has it often gotten in the way of doing things with friends, dating, relationships, or social activities?","Yes",1,2807-questionnaire.csv 
"Has it caused you any problems with school, work, or other activities?","Yes",1,2807-questionnaire.csv 
"Are there things you avoid because of how you look?","Yes",1,2807-questionnaire.csv 
"On an average day, how much time do you usually spend thinking about how you look?","More Than Three Hours",2,2807-questionnaire.csv 
"What is your gender identity?","Female",1,2807-questionnaire.csv 
,,11,2807-questionnaire.csv 
label,selection,val,2904-questionnaire.csv 
"Are you worried about how you look?","Yes",1,2904-questionnaire.csv 
"Do you think about your appearance problems a lot and wish you could think about them less?","Yes",1,2904-questionnaire.csv 
"Is your main concern with how you look that you aren't thin enough or that you might get too fat?","Yes",1,2904-questionnaire.csv 
"Has this problem with how you look affected your life?","No",0,2904-questionnaire.csv 
"Has it often upset you a lot?","Yes",1,2904-questionnaire.csv 
"Has it often gotten in the way of doing things with friends, dating, relationships, or social activities?","No",0,2904-questionnaire.csv 
"Has it caused you any problems with school, work, or other activities?","No",0,2904-questionnaire.csv 
"Are there things you avoid because of how you look?","Yes",1,2904-questionnaire.csv 
"On an average day, how much time do you usually spend thinking about how you look?","Less Than One Hour",0,2904-questionnaire.csv 
"What is your gender identity?","Female",1,2904-questionnaire.csv 
,,6,2904-questionnaire.csv 
label,selection,val,2957-questionnaire.csv 
"Are you worried about how you look?","Yes",1,2957-questionnaire.csv 
"Do you think about your appearance problems a lot and wish you could think about them less?","Yes",1,2957-questionnaire.csv 
"Is your main concern with how you look that you aren't thin enough or that you might get too fat?","Yes",1,2957-questionnaire.csv 
"Has this problem with how you look affected your life?","Yes",1,2957-questionnaire.csv 
"Has it often upset you a lot?","Yes",1,2957-questionnaire.csv 
"Has it often gotten in the way of doing things with friends, dating, relationships, or social activities?","Yes",1,2957-questionnaire.csv 
"Has it caused you any problems with school, work, or other activities?","Yes",1,2957-questionnaire.csv 
"Are there things you avoid because of how you look?","Yes",1,2957-questionnaire.csv 
"On an average day, how much time do you usually spend thinking about how you look?","More Than Three Hours",2,2957-questionnaire.csv 
,,10,2957-questionnaire.csv 
label,selection,val,3116-questionnaire.csv 
"Are you worried about how you look?","Yes",1,3116-questionnaire.csv 
"Do you think about your appearance problems a lot and wish you could think about them less?","Yes",1,3116-questionnaire.csv 
