SubjectID,Image Shown,User Selection,Time Taken,Edit Direction,Edit Factor,Computed LPIPS,Computed L2,Computed MSSSIM
0255,b1c555b0-5fbe-43ea-a547-6d523047360f.png,Altered,6659 ms,narrow_eyes,0.05406459122528329,0.167647123336792,0.16277778148651123,0.5186905264854431
0255,ba3b6370-c8df-4887-a790-b1e6f651a61a.png,Altered,1357 ms,bags_under_eyes,-0.5861630783050886,0.16769137978553772,0.1615421026945114,0.5183877944946289
0255,1247f460-64f1-450c-8858-790480516f8b.png,Altered,4774 ms,chubby,0.5263817274677998,0.16781073808670044,0.1626427173614502,0.518367350101471
0255,607c0b02-0caa-4094-b599-c138639cd3bb.png,Altered,1490 ms,pointy_nose,-0.33610066568724384,0.16758935153484344,0.16433706879615784,0.5183787941932678
0255,942479d0-99e8-4a68-9e0b-ede5b8d6391a.png,Altered,2378 ms,age,0.17488528188668218,0.1678714007139206,0.16300848126411438,0.5177760124206543
0255,c9037d34-75a5-4ca9-a154-4431f57904bd.png,Altered,813 ms,chubby,0.6040422963983987,0.16765551269054413,0.1625751107931137,0.5184066891670227
0255,3e9d5b48-146d-4f7b-a334-a29cd4903aa9.png,Altered,970 ms,pointy_nose,-0.7313123606554259,0.1675119400024414,0.16623762249946594,0.5179053544998169
0255,87327fb2-49a5-420c-b302-32e799865ed7.png,Altered,3774 ms,age,0.22506759012614563,0.16784094274044037,0.1631685346364975,0.5175355672836304
0255,076bab54-fc2b-4424-bc4a-4647e6c83825.png,Altered,1660 ms,smiling,-0.13586435255053764,0.16769316792488098,0.16292119026184082,0.5185561180114746
0255,3066ef30-87e9-4743-b4be-b3cd13c9d000.png,Altered,716 ms,bags_under_eyes,-0.5208768107758661,0.16764114797115326,0.16173772513866425,0.5183801054954529
0255,84662168-a68d-408f-aa98-ecd265ca26bb.png,Altered,1206 ms,pointy_nose,-0.8045296430254434,0.1674027442932129,0.1666831374168396,0.5177198052406311
0255,347a7c81-f9bc-4b59-a1ab-4a51f67ce187.png,Altered,1299 ms,narrow_eyes,-0.4872226352420723,0.1678415983915329,0.16102829575538635,0.5182241797447205
0255,59514268-650c-4240-a8e8-0cd5f46364d7.png,Altered,1464 ms,smiling,0.6067052263209001,0.16734862327575684,0.16105419397354126,0.5189535021781921
0255,f94e198d-c57f-4ba0-bcd5-ddf3c9d418c5.png,Altered,1196 ms,pointy_nose,0.7618609349813481,0.16839560866355896,0.1584121137857437,0.5186077952384949
0255,4a1656e5-51cf-456c-8a2d-7ee3385dec20.png,Altered,875 ms,smiling,0.8911165463202786,0.167075514793396,0.1602550446987152,0.5188954472541809
0255,cfdc5735-f506-472b-8153-3dc379c182cf.png,Altered,1094 ms,narrow_eyes,-0.006932460917594474,0.16763544082641602,0.16258513927459717,0.5186429619789124
0255,33b67912-cba9-4b30-a9a4-2ed44d364ee4.png,Altered,1470 ms,age,0.8574515520855839,0.1684139221906662,0.16465161740779877,0.5142274498939514
0255,8031c51f-5174-44d5-ae38-d4e8d4094919.png,Altered,3564 ms,chubby,-0.932482781778075,0.16702091693878174,0.15998560190200806,0.520439863204956
0255,b491c221-d7bb-4cfe-813e-86b287692cec.png,Altered,1168 ms,age,0.2949870720996577,0.16781064867973328,0.1632618010044098,0.517199695110321
0255,4904b60c-94f9-44e0-a624-914a25c65537.png,Altered,1063 ms,narrow_eyes,0.23022623694570443,0.16760317981243134,0.1633833944797516,0.5187763571739197
0255,aff647d4-b90a-44ab-8216-af58d123e2fb.png,Original,2711 ms,Original,0,0,0,0
0255,51728ada-4cbf-44c1-b235-4294ee5ae5ce.png,Altered,1548 ms,bags_under_eyes,-0.8129125022046115,0.16757619380950928,0.16114234924316406,0.5182615518569946
0255,dc4ed0e8-db43-4d39-9162-cd201b53efa8.png,Altered,890 ms,smiling,0.5847132129727086,0.16739028692245483,0.16112248599529266,0.5189329981803894
0255,af79cda0-3308-4c50-af9e-18bac0977220.png,Altered,949 ms,smiling,0.6157996982948386,0.1673508882522583,0.16107136011123657,0.5189401507377625
0255,fc11ddd7-67e5-4476-b9aa-64added7e56f.png,Altered,1214 ms,chubby,-0.21719188645718357,0.16765785217285156,0.16220742464065552,0.5190548300743103
0255,121663ef-cae5-4d97-9c9c-279fa998902a.png,Original,1609 ms,Original,0,0,0,0
0255,ab030cea-3833-4365-8853-7da87fed80c9.png,Altered,1250 ms,bags_under_eyes,0.1674087336210619,0.16783294081687927,0.16286735236644745,0.5186927318572998
0255,e0449d91-c4de-4aa6-8bba-eaa65db35fab.png,Altered,705 ms,pointy_nose,-0.004368004482827592,0.16764125227928162,0.1626421958208084,0.5186417698860168
0255,fbbef047-45cb-43ee-9fed-0a5bc5708480.png,Altered,768 ms,narrow_eyes,-0.930577826135806,0.16815048456192017,0.1595734804868698,0.51790851354599
0255,f787dc14-bd9e-4633-a683-4e7c31f41b95.png,Altered,718 ms,age,-0.9988701215218345,0.16712342202663422,0.16023454070091248,0.522923469543457
0255,1bb6a255-60f6-4716-92bc-a4ab14a0a40e.png,Altered,1612 ms,bags_under_eyes,-0.21122733648360503,0.1673756241798401,0.16224399209022522,0.5185390114784241
0255,809e0792-2c0c-4fe1-bd61-4ddca5cd0471.png,Original,1252 ms,Original,0,0,0,0
0255,5bf2896e-b2aa-4340-a1c5-70db78b7ee8d.png,Altered,1436 ms,chubby,-0.5528661170506253,0.16732947528362274,0.16126295924186707,0.5196930766105652
0571,9be070ce-cabd-41ef-8567-3e93536609b1.png,Altered,1740 ms,narrow_eyes,-0.8786200386384246,0.15970516204833984,0.23766854405403137,0.45672860741615295
0571,bad0f9f9-fb43-4e5b-bda0-5b5dc48968b5.png,Altered,1517 ms,smiling,-0.156599696366998,0.15986782312393188,0.2443332076072693,0.45639708638191223
0571,62f43745-cec4-43f5-9a08-ad3ab78d47ec.png,Altered,2203 ms,pointy_nose,0.01844702239732876,0.1596212387084961,0.2440035343170166,0.4562470614910126
